"No.","Time","Source","Destination","Protocol","Length","Info"
"92","146.675697","0c:5b:73:54:00:03","Slow-Protocols","LACP","124","v1 ACTOR 0c:5b:73:54:00:00 P: 4 K: 1 **DCSG** PARTNER 0c:0d:d2:f5:00:00 P: 4 K: 2 **DCSG*A"
"93","149.720002","0c:0d:d2:f5:00:03","CDP/VTP/DTP/PAgP/UDLD","CDP","418","Device ID: vIOS-L2-01  Port ID: GigabitEthernet0/3  "
"94","150.015305","0c:0d:d2:f5:00:03","0c:0d:d2:f5:00:03","LOOP","60","Reply"
"95","153.242722","0c:0d:d2:f5:00:03","Slow-Protocols","LACP","124","v1 ACTOR 0c:0d:d2:f5:00:00 P: 4 K: 2 **DCSG*A PARTNER 0c:5b:73:54:00:00 P: 4 K: 1 **DCSG**"
"96","154.255930","0c:5b:73:54:00:03","0c:5b:73:54:00:03","LOOP","60","Reply"
"97","157.742819","0c:68:02:cc:00:01","CDP/VTP/DTP/PAgP/UDLD","DTP","90","Dynamic Trunk Protocol"
"98","158.564200","0c:68:02:cc:00:03","CDP/VTP/DTP/PAgP/UDLD","DTP","90","Dynamic Trunk Protocol"
"99","159.781238","0c:bb:fa:db:00:03","CDP/VTP/DTP/PAgP/UDLD","DTP","90","Dynamic Trunk Protocol"
"100","159.781744","0c:bb:fa:db:00:01","CDP/VTP/DTP/PAgP/UDLD","DTP","90","Dynamic Trunk Protocol"
"101","159.834647","0c:5b:73:54:00:01","CDP/VTP/DTP/PAgP/UDLD","DTP","90","Dynamic Trunk Protocol"
"102","160.013496","0c:0d:d2:f5:00:03","0c:0d:d2:f5:00:03","LOOP","60","Reply"
"103","160.528765","0c:5b:50:82:00:03","CDP/VTP/DTP/PAgP/UDLD","DTP","90","Dynamic Trunk Protocol"
"104","162.897160","0c:5b:73:54:00:03","CDP/VTP/DTP/PAgP/UDLD","DTP","60","Dynamic Trunk Protocol"
"105","162.897191","0c:5b:73:54:00:03","CDP/VTP/DTP/PAgP/UDLD","DTP","90","Dynamic Trunk Protocol"
"106","163.202141","0c:0d:d2:f5:00:03","CDP/VTP/DTP/PAgP/UDLD","DTP","60","Dynamic Trunk Protocol"
"107","163.202179","0c:0d:d2:f5:00:03","CDP/VTP/DTP/PAgP/UDLD","DTP","90","Dynamic Trunk Protocol"
"108","164.254482","0c:5b:73:54:00:03","0c:5b:73:54:00:03","LOOP","60","Reply"
"109","170.012978","0c:0d:d2:f5:00:03","0c:0d:d2:f5:00:03","LOOP","60","Reply"
"110","174.252843","0c:5b:73:54:00:03","0c:5b:73:54:00:03","LOOP","60","Reply"
"111","174.596416","0c:5b:73:54:00:03","Slow-Protocols","LACP","124","v1 ACTOR 0c:5b:73:54:00:00 P: 4 K: 1 **DCSG** PARTNER 0c:0d:d2:f5:00:00 P: 4 K: 2 **DCSG*A"
